skillDevelopment,location,reviewText,overallScore,workSatisfaction,jobFunction,companyCulture,postedon,pros,careerGrowth,salaryBenefits,company,cons,workLifeBalance,jobSecurity
2,Mysore,7 years 7 months though I have spent but not getting anything outstanding from the Organization apart learning on my skills and gaining experience based on my own initiatives,2,2,Team Leader Operations,3,4-Jan-19,Nothing special on the go.,2,2,Infosys,Environment is good but management system requires improvement. Hard workers should get what they deserve.,4,5
4,Chennai,Boring,3,3,Technical Test Lead,3,15-May-18,They are providing support in learning,4,2,Infosys,Work life balance. Most of the offices are outskirts of the city and lots of time waste on traveling,2,3
4,Pune Phase 2,I used to work as a software developer for SAP ABAP.,4,4,Senior System Engineer,4,28-Mar-20,"Being my first company, the training and colleagues were too good for a workplace. Mysore campus and the training provided was up to the mark. Career growth and work environment is great for a fresher",4,3,Infosys,"Politics is there as and when you are to leave a project and join some other, the appraisal gets affected even when you deserve better the rest of the existing team of the last project is given priority for ratings",3,5
4,,,5,5,Consultant for 1.7 years in Bangalore,5,2-Jun-19,Work timings: ,4,5,Infosys,,5,4
5,,,5,5,Process Specialist for 1.1 years in Hyderabad,5,13-Apr-19,smart work only,5,5,Infosys,nothing,5,5
4,Benagaluru,,4,4,Senior Technology Analyst,5,11-Jan-19,Nice,3,3,Infosys,some units like TSO worst,5,5
5,Pune,Normal,5,5,Process Specialist,5,8-Jan-19,Work days:,5,4,Infosys,,5,5
4,HYDERABAD,,5,4,Senior Software Engineer,5,10-Dec-18,Impressed,4,3,Infosys,Nothing to say,4,3
5,,Technology Lead,5,5,Technology Lead for 2.2 years in Pune,5,22-Oct-18,Job Security..,5,5,Infosys,Transport charges are little high..,5,5
3,,,4,4,Senior System Engineer for 4 years in Hyderabad,5,26-Sep-18,The company is open to innovation and works on new technologies.,4,3,Infosys,"Compensation is decent, but growth is slow.",5,5
3,,,4,2,Graduate Student for 10 months in Pocharam,4,20-Aug-18,The company is open to learn the latest technology and adopt skills and communication,3,2,Infosys,Working hours is more sometimes and there is no training for freshers,2,4
4,Bangalore,,3,2,Practice Lead - Compensation And Benefits,2,7-Aug-18,Learning opportunities,3,1,Infosys,"Compensation, performance structure, culture",2,4
4,Pune,Exciting,4,4,Senior Consultant P5,3,6-Aug-18,Opportunities to work on challenging projects,3,2,Infosys,Work culture is not as great as it was earlier. Growth is very slow..,3,4
5,Pune,It's good overall,4,2,Senior Systems Engineer,2,24-Dec-21,Training for freshers is amazing,2,2,Infosys,Low package and no say in choosing projects,5,5
3,Bangalore,,3,3,Technology Analyst,3,13-May-19,Great place to learn but lacks career growth,2,2,Infosys,Still in budding stage with lots of changes happening high up in the ladder with fewer career progression.,3,4
3,Pune,,4,3,System Software Engineer,3,20-Feb-19,Working environment,3,3,Infosys,Manager,3,3
5,Bangalore,,5,5,Executive/sr Executive - Facility Management,5,8-Dec-18,"Well support, and quick growth.",5,5,Infosys,Nothing,5,5
2,Bangalore,Boring,4,3,Senior Systems Engineer,4,10-Oct-18,Training and work culture is very good,2,1,Infosys,Career growth is very dissatisfied,4,5
2,,,3,3,Senior Process Associate for 5.9 years,5,20-Sep-18,nothintg,3,1,Infosys,salary,2,5
5,,It's good I m enjoying,5,5,Senior System Engineer for 1.2 years in Pune,5,23-Sep-18,Work life balance,4,5,Infosys,Nothing,5,5
3,Hyderabad,,3,3,Technology Analyst,4,21-Aug-18,"Good culture, service based company politics.",3,3,Infosys,"If your skill is in demand, they wont care for your health also",3,5
4,,,4,3,System Engineer for 1.7 years in Bangalore,5,15-Aug-18,Work culture is too good and easy to maintain work-life balance,3,2,Infosys,Compensation and benefits,5,4
1,,,5,2,Technology Analyst for 1.8 years in BANGALORE,5,2-Aug-18,"9 days work from home option was awesome. manager did not had any problem with it. but this depends from project to project. In some projects, managers use to be very strict with work from home benefit.",3,1,Infosys,pay scale and hike are worst compare to any other company.,5,5
5,Chennai,It was interesting for all my career in Infosys limited. At times it would be challenging but without that you brain will be dead.,5,5,Technology Analyst,5,1-Aug-18,"For every 10 to 12 people , you might get a.manager and hence you could quickly highlight the issues",5,5,Infosys,Everything,5,5
2,Pune,sometimes relaxing but boring,3,3,Consultant,3,5-Jun-18,Jobb security is good along with good work-life balance.,3,3,Infosys,"No remarkable career development and growth. Salary wise, it is just average. Infosys never tried for excellence they are after head count so that they can bill customer more. Never after the quality of work and never cared for good performer unless they resign.",3,4
4,Hyderabad,,5,5,Assistant Manager Operations,5,2-Sep-18,"Transparency, identifies the potential and handover responsibility accordingly, Rewards and Recognition",4,4,Infosys,The way HR functions in Infosys BPM is not very appreciable.,5,5
1,Bengaluru,,2,4,Assistant Accountant,3,20-Aug-18,Its good for experienced people. in case of fresher better to join over there.,2,1,Infosys,Training slots are very limited and its difficult to enroll for it.,2,4
2,Bangalore,"Writing Emails, Documentation.",1,1,Specialist Programmer,1,2-Aug-18,Good Campus,1,1,Infosys,"Poor work Culture, Minimal Salary. Nominal Salary Hike.Not a place to build your career.",1,3
5,,Work is great.,5,5,Senior Associate Consultant for 1.8 years in Chenn,5,27-Jul-18,Its very great environment to work.,5,5,Infosys,"As the company is located far from the city, Travelling for long time is the only drawback the company has.",5,5
4,Bhubaneswar,,5,4,Senior Systems Engineer,4,7-Jan-19,T,4,3,Infosys,T,3,4
5,Bangalore,,5,4,Process Executive,5,31-Oct-18,Hardworking,5,5,Infosys,Opportunities,5,5
4,Mysore,,4,4,Test Engineer,4,17-Oct-18,"Good to Grow, Rich Environment. Everything make better grooming ourselves to corporate culture and also our growth.",4,4,Infosys,Not much dislike. Everything holds Good and moderate.,4,5
5,Chennai,,3,3,Senior Process Executive,2,11-Oct-18,Learn opportunities are highm,3,2,Infosys,Bad compensation and benefits,4,5
5,Chennai,,5,5,Senior Testing Executive,5,25-Sep-18,The environment that we get around our workplace.,5,4,Infosys,The compensation is not very good,5,5
5,,Receptionist.all work of front office and assist to facility,5,5,Facility Cum Receptionist for 2.7 years in Gurgaon,5,20-Sep-18,It's good opportunity to work and growth in carrier at Infosys BPO,5,5,Infosys,Nothing to say about Infosys,5,5
5,,,5,5,Test Engineer for 3.3 years in Bangalore,5,8-Dec-19,Work environment,5,3,Infosys,Appraisal,5,5
1,,Useless,1,1,Process Executive for 1.1 years in Bangalore,1,22-Aug-19,Nothing,1,1,Infosys,Everything,1,1
5,Hyderabad,,5,5,Technology Support Specialist,5,11-Apr-19,,5,5,Infosys,,5,5
3,Chennai,,4,3,Test Engineer,3,13-Mar-19,,3,2,Infosys,,4,3
4,Chennai,,4,4,Technology Analyst,4,12-Mar-19,,5,4,Infosys,,4,4
4,Chennai,,4,3,Technology Analyst,4,10-Dec-18,Work days:,4,3,Infosys,,4,4
4,Hyderabad,,4,3,"TSM,Netbackup Backup And EMC San Administrator",3,10-Dec-18,No comments,3,3,Infosys,No comments,4,3
3,,,3,2,Technology Analyst for 11 months in Bhubaneswar,2,12-Dec-18,Work days:,3,2,Infosys,,2,4
5,,,4,4,Sourcing Analyst - Team Lead for 1.6 years in Pune,4,31-Oct-18,Learning and cultural environment,4,3,Infosys,Not Applicable,5,5
3,Pune,Cool,4,3,Technology Analyst,4,4-Nov-18,The working culture,3,1,Infosys,Work days:,4,4
4,,In the beginning it was exciting later on its get bored with routine work life,4,3,Process Specialist for 5.1 years in Bangalore,5,7-Jul-18,"Infrastructure,training programs",4,3,Infosys,"Politics,work life balance,salary",3,5
3,Pune,Sometime exciting...,4,3,System Engineer,4,14-May-18,"Team ,work environment is good.",3,3,Infosys,Salary/appraisal needs more support and acknowledgement for work done,4,4
5,,,5,5,,5,11-Oct-19,,5,5,Infosys,,5,5
1,Jaipur,,2,2,Accountant SME,2,13-Feb-19,No,2,1,Infosys,No,2,3
4,Banglore,Good,4,4,Stp Operator,3,26-Dec-18,Good,4,4,Infosys,Time,4,3
4,,,4,4,Senior System Engineer for 2.8 years in Hyderabad,4,25-Oct-18,It's a good company,4,4,Infosys,Night shifts,4,5
3,,Worked as java developer for product development in central internal team.,3,3,Senior Systems Engineer for 2.6 years in Electronics City,3,29-Aug-18,Infrastructure and on site facility,3,4,Infosys,Work qaulity,4,5
4,Gurgaon,"Work is not always hectic and that makes life-work balance perfect, added with east work from home.",4,4,Senior System Engineer,4,20-Mar-18,Work environment and facilities,4,3,Infosys,Average hours 9.15,4,5
4,,Hectic..but its good to have good knowledge on product.,4,5,Test Engineer for 2 years in Bangalore,2,10-Mar-18,Learning scope is huge.,3,3,Infosys,Work pressure is there..management not good..no wfh...hike expecataions are more as like work...no time to involve in other activities,3,2
5,Pune,Excellent,5,5,Senior Process Associate,5,24-Mar-21,Work culture,3,3,Infosys,Nothing,5,5
5,,,5,5,Consultant for 7.3 years in Pune,5,25-Mar-18,Excellent company to work in. Very good managers and quality of work. Work from home given 9 times in a month. Best facilities for employees.,3,3,Infosys,Only issue is remuneration growth year on year.,5,5
4,,"Awesome worklife ,everyday learning ,good team a",4,5,Processing Executive for 1.5 years in Bangalore,5,27-Jun-21,Awesome work environment,3,2,Infosys,Compensation and benefits,5,5
5,Bangalore,Bangalore,5,5,Senior Process Executive,5,7-May-21,"INFRASTRUCTURE, WORK CULTURE AND TEAM WORKS",5,5,Infosys,Salary increment,5,5
2,,,1,1,,2,1-Oct-19,,2,1,Infosys,,1,4
2,,,3,3,Sr. Process Executive In Correspondent Mortgage for 2.3 years in Bangalore,5,5-Oct-18,work culture,2,2,Infosys,"career growth, salary issue and partiality",2,5
3,Hyderabad,,5,4,Test Engineer,5,7-Sep-19,The environment and the infrastructure of the company,4,4,Infosys,Having there office campus very far from the city,5,5
5,,,4,5,Senior Steward for 2.6 years in Pune,5,5-Mar-19,Yes,3,5,Infosys,,4,5
5,,,5,5,Senior Process Executive for 3.3 years in Chennai,5,14-Nov-18,Working environment,5,5,Infosys,Human resources team,5,5
4,Chennai,,5,4,Testing Engineer,5,29-Oct-18,Work days:,3,4,Infosys,,4,4
1,HYDERABAD,terrible,1,1,Senior Geologist,1,13-Oct-18,nothing,1,1,Infosys,everthing,1,5
4,Chennai,,4,4,Senior System Engineer,4,5-Nov-18,Work environment,4,3,Infosys,Salary,5,4
5,Pune,,5,5,Senior Technology Support Executive,5,7-Oct-18,Yes.,5,5,Infosys,Doesn't matter,5,5
5,,Boring,5,3,Process Executive for 5 months in Bangalore,4,22-Sep-18,Good environment,4,5,Infosys,No growth,3,5
5,Bangalore,Exciting,5,4,Senior System Engineer,4,18-Aug-18,"Infrastructure,",3,4,Infosys,Appraisal,4,4
3,Jaipur,"It's really good, working as a auditor in Infosys.",3,3,Senior Process Executive,3,26-Jul-18,Culture Trainings,3,3,Infosys,Salary,3,4
5,Pune,Work is exciting and open to opportunities,4,5,Technology Analyst,3,14-May-18,Learning and innovation is really upscale,4,2,Infosys,Compensation,4,4
1,Bangalore,Boring work,2,1,System Engineer,2,24-May-19,"Infrastructure in Infosys is unbeatable, but that infra doesn't pay your bills. Job Security as a concept is valid for companies that can pay yearly salaries just to keep engineers on the bench. Work life balance for some projects are good. Weekends are to yourself",1,1,Infosys,"If in today's world, if you are working for IT Services company whose major bread and butter are Support and Maintenance projects then either you haven't or don't want to see the world outside which is rapidly evolving and your skills are being redundant with AI and automation. IT Sector has not much learning, you are one among few lakhs, so you know your value, this makes your growth almost slow to impossible. Ambitious people, people who are good at what they do and people who know their self-worth, either use IT companies as preparing for Further education. or Better even prepare for other companies that can actually pay good, have good work. IT companies have time and again made money for shareholders but its employees languish with peanut salaries. Have a look at your appriasal letter and ask people in product companies their hikes. Sorry to use term - but aukat pata chal jayegi. And also your are not valued on quality of work but quantity of work (9.5 hours )",4,3
2,,,3,2,Senior System Engineer for 3 years,2,22-Mar-19,Work timings: ,3,2,Infosys,,2,4
4,,I worked as assistant accountant for P2P process,5,5,Account Assistant for 2.5 years in Pune,5,18-Mar-19,"I liked work environment,campus is as usual excellent,every level staff is cooperative like house keeping to process manager",4,3,Infosys,Night drop facility,4,5
1,Bangalore,Boring,2,2,Senior Consultant (BA),4,19-Sep-18,Campus,2,3,Infosys,Your skill will be diluted and you will not be expert in anything,2,4
4,,,4,3,Subject Matter Expert for 11 months in Chennai,1,8-Mar-19,,2,1,Infosys,,2,2
4,,,5,5,Team Leader Operations for 8.4 years in Bangalore,5,11-Dec-18,Infrastructure and flexibility for women employees.,4,3,Infosys,Salary,5,5
5,,Good,5,5,Process Executive for 1.6 years in Bangalore,5,19-Nov-18,Work days:,5,4,Infosys,,5,5
5,Hyderabad,,5,3,System Engineer,5,13-Oct-18,Its a very good company for career progression,3,3,Infosys,Salary,2,5
1,,Not good,1,1,Process Specialist for 6.1 years in Bangalore,1,23-Sep-18,Bad,1,1,Infosys,Yes,1,5
5,Pune,,3,3,Senior System Engineer,2,18-Aug-18,learning and campus. proximity to nature and beauty of the workplace.,3,2,Infosys,hike culture. no appreciation of work. internal politics like every other MNC.,2,4
4,,It has always been exiciting for me..,5,4,Test Engineer for 3.8 years in Bhubaneswar,5,4-Aug-18,Work environment and managememt,4,4,Infosys,Work days:,4,5
5,Chennai,,4,3,Senior System Engineer,5,21-Jul-18,Infrastructure. Opportunities are plenty. Learning is abundant.Great place to work,4,2,Infosys,Low package.,5,5
4,Bangalore,depends on the team you are into,4,5,Network Security Engineer,4,16-May-18,good work life balance and better knowledge transfer from senior team mates,4,3,Infosys,compensation & benefits are too low compared to other competitive company,5,3
3,New Delhi,,2,1,Technology Analyst,3,3-May-18,"If you are at offshore then there is still chances of employee satisfaction else being at client location, you will be tortured till you quit. Staying in Manager good books (you know what I mean) can help you a bit else disaster. Around 20-25 employees has resigned in last 2 months from my department and more to come.",2,1,Infosys,Describe above.,1,4
5,,It really a good learning for me as my 1st company as a team leader. Handling a team size of 17 members.,3,2,Team Leader for 4.9 years in Bangalore,5,20-Jun-18,Infrastructure.,3,2,Infosys,Salary.,3,5
1,Hyderabad,"Hectic , boring and uninteresting.",2,1,Technology Analyst,3,10-May-18,Infrastructure and ameneties provided.,3,3,Infosys,Candidate will be forced to work in a technology which is not his niche.,2,5
5,Bangalore,,4,3,System Engineer,4,10-May-19,Working environment and campus.,4,3,Infosys,Not sure about your work as a fresher. They will put you any technology whether you like or not,5,4
4,Chandigarh,,3,2,Test Engineer,4,17-Dec-18,The campus and training,3,1,Infosys,No career growth. Company do not value its employees,4,4
4,Bangalore,Depends on project as in case of other companies,4,5,Technology Analyst,5,3-May-18,The facilities available here make you to keep fit and thus boost ur professional life as well,5,4,Infosys,"In terms of facilities, it is centralized.. And thus few can take advantage a lot and others may not",5,5
3,Pune,,4,4,Senior System Engineer,5,15-Apr-18,Infosys provides facility of Extra curricular activities because of its huge campus which makes Infosys different from other companies.,3,2,Infosys,The work hours are decent and there is no such work pressure. Growth and compensation is slow but if you want to enjoy along with work Infosys is the best option.,4,5
4,Bangalore,,4,4,System Engineer,4,31-Oct-18,Work days:,5,3,Infosys,,3,4
2,Pune,,3,2,L2 Network Engineer,2,17-Aug-18,If you're searching for stability then this company for you,2,3,Infosys,Training not good,4,3
5,Noida,My work is related to finance and accounts in SAP erp.,5,5,Accountant,5,10-Aug-18,Job security,5,5,Infosys,Work days:,5,5
4,Chennai,It's not good,3,1,Technology Analyst,3,3-May-18,Training Infrastructure Facilities Work Environment,2,1,Infosys,Salary Hike Politics Work Life Balance Growth,2,4
4,,,4,4,Senior Systems Engineer for 2.9 years in Chennai,4,17-Jan-19,It's a good place to work,4,4,Infosys,,4,4
2,,I was working there as Java Developer,3,3,Java Developer for 7 months in Bangalore,3,17-Jan-19,"Campus, Work Life balance, Job Secrity",3,2,Infosys,"Leave Policy, Parking charge, Working hours, Low Salary",4,4
4,Chennai,,3,3,"Self-Driving Automobiles Engineer, Artificial Intelligence",4,7-Nov-18,Good,3,1,Infosys,Good,2,4
3,,,1,1,Senior Associate Consultant for 5.4 years in Hyderabad,1,5-Nov-18,HR exit policies are only on paper. Any damn idiot can override it and can do things on his or her whims and fancies. Very bad attitude towards it's employees. Company is as good as its employees. Employee's over there are interested and play caste n regional politics. Not good it's decline is eventual.,1,1,Infosys,...,3,1
4,Bangalore,,3,2,Process Executive,3,16-May-18,Comfortable environment for work. No extra work is ever expected.,1,1,Infosys,"Food is a problem, if you are working on week offs as the food courts are closed. Career Growth is too slow. Have to work in performance pressure.",1,5
5,Trivandrum,,5,4,Senior System Engineer,5,3-Dec-18,Overall experience is good.,4,5,Infosys,Good experience.,4,5
4,Bangalore,,4,4,Senor Software Engineer,4,11-Sep-18,Campus,4,1,Infosys,Salary not good,3,4
5,Pune,Existing,5,5,Test Engineer,5,13-Aug-18,All are good within Infosys... No words for Infosys... It's truly wonderful...,5,5,Infosys,All good,5,5
3,Chennai,Work'll be hectic depending on the project you got allocated.,4,3,System Engineer,4,4-Jun-18,"Teammates - once you get well together, then it'll be a fruitful working environment.",4,3,Infosys,Project Allocation- not allocated to you based on your skill set,3,4
4,Pocharam Ghatkesar,Hk supervisor,5,5,Hk Supervisor,4,21-Aug-18,Good,4,4,Infosys,The work pressure is is very high but growth is slow I have to work 12-14 hours in a day,4,3
5,Bangalore,,5,5,System Engineer,5,8-May-18,Company providing friendly ecosystem which help any one to express their views and thoughts,5,4,Infosys,Nothing,5,5
4,Bhubaneswar,,3,3,Engineer,2,3-May-18,Training is the most impressive thing in Infosys.,3,1,Infosys,"Salary, compensation and hikes are too low inspite having a good performance.",3,4
5,Mysore,Awsum !!!,5,5,Technical Analyst,5,11-Dec-18,Great learning experience and lot of exposure ...,3,3,Infosys,No quick career growth,4,5
5,,,5,3,Test Engineer for 2.5 years in Mysore,5,22-Mar-18,Infosys provides good quality training to their employee. Salary level as a fresher is satisfactory.,4,3,Infosys,Every thing is good except production work. Work offered to their employee in production is not as much good as infosys training what they provide to their employee.,4,5
5,,I was handling US immigration process end to end,5,5,Senior Associate Lead Global Immigration for 11 year in Bangalore Electronic City,5,27-Sep-19,Job security and very good work environment...nice place to learn new things,4,3,Infosys,Internal Politics,5,5
3,,I was working as a OBIEE developer at infosys for 3 years.,3,2,Software Developer for 2.2 years in Pune,4,23-Apr-19,Infosys has great campus and their internal system of handling employee grievance is great.,2,2,Infosys,"In companies like Infosys, which has so much flexibility on every front, it all comes down to your manager and his behaviors towards you. Though, I won't say I was left helpless but this is one of the biggest reason which forced me to leave company like infosys. Also growth and raise in compensation at Infosys is also very slow.",2,4
3,Pune,,3,2,Assistant Underwriter,4,23-Feb-19,Very much bios behaviour if managers salary issue,2,2,Infosys,They dont give chance to grow nd show case ur talent. Salary is also very less.. had to work for 14hrs bt not overtime nd incentive,2,3
,,,4,4,Technolgy Analyst for 8 months in Hyderabad,4,14-Dec-18,It's good,3,3,Infosys,Working hours and hike,,5
2,,,1,1,System Engineer for 1.5 years,1,7-Dec-18,Worst,1,1,Infosys,More work pressure and no recognition,1,2
5,Bangalore,,5,5,Senior Process Executive,5,12-Aug-18,Every thing was ok but salary is dissatisfied,5,5,Infosys,Salary,5,5
5,Bangalore,Exciting,5,4,Technology Analyst,5,20-Mar-18,"Trainings, Job Security, Work Environment, Innovation, Work-life Balance.",4,4,Infosys,Getting work on new technologies.,5,5
4,Bhubaneswar,Hectic,3,3,Senior Software Engineer,4,20-Mar-18,Chance to learn new techonologies.Infosys always provides training to learn new technologies.,3,2,Infosys,Hikes & compensation never meets my expectation..,3,4
1,Mysore,There is no meaning to the work assigned.,1,1,Project Manager Testing,1,8-Dec-21,Infrastructure of the company and facilities.,1,1,Infosys,Too much politics .,1,5
5,,,5,5,Salesforce Administrator for 4.2 years in Bangalore,5,5-Jun-19,Work environment,5,5,Infosys,No work from home,5,5
5,Hyderabad,I worked in the development project,5,4,System Engineer,5,23-Apr-19,"The teammates,the campus was awesome and the work culture is very good",4,5,Infosys,Nothing.,5,5
4,,,4,5,Administration Facilities for 2.1 years,2,28-Mar-19,Good,,1,Infosys,Work days:,5,2
5,,Exciting,5,5,Junior Accounts Assistant for 7 months in Pune,5,5-Nov-18,Job security as well as big campus free environment to work,5,5,Infosys,Nothing to disk-like,4,5
1,Chennai,,1,1,Account Assistant,1,30-Oct-18,Useless company,1,1,Infosys,Waste,1,1
3,Pune,,4,3,System Engineer,4,8-Sep-18,"Great campus,get to work with good and experienced people.",3,3,Infosys,no hike,4,4
4,Chennai,,4,4,Technology Lead,5,25-Aug-18,Infrastructure,3,3,Infosys,Mapping non related projects,3,3
4,Hyderabad,,4,5,Technology Support Specialist,4,31-Oct-18,Good company to work,4,3,Infosys,Good,4,4
1,Pune,,4,2,Technology Analyst,2,5-Sep-18,chill environment in amazing campus,1,1,Infosys,Very bad in techanical area,3,3
5,Pune,,5,5,Senior System Engineer,5,2-Aug-18,Work environment,5,5,Infosys,No,5,5
5,,,5,5,Technology Lead for 5.3 years in Hydearabad,5,11-Jul-18,I am very happy to work in Infosys and gained a lot of technical stuff,5,3,Infosys,Appraisal Process only,5,5
2,Hyderabad,,4,3,System Engineer,5,7-Jul-18,Good work environment,2,3,Infosys,"Career growth, opportunity, hike",4,5
2,Pune,Boring,2,1,Operations Manager - Finance And Accounts,1,6-Jun-18,Infrastructure,1,2,Infosys,Management,3,3
5,,,5,5,Senior System Engineer,5,21-Jul-19,Hi,5,5,Infosys,Hi,5,5
5,,,5,4,Senior Associate Consultant for 3.8 years,5,16-Apr-19,,5,4,Infosys,,5,5
4,,,4,4,Lead Consultant - Infrastructure Management,4,10-Feb-19,Flexibility,4,3,Infosys,Variable pay,4,5
5,Pune,,5,5,Senior Associate Consultant,5,26-Dec-18,Everything,5,5,Infosys,Nothing,5,5
3,Pune,,3,3,Technology Lead,4,24-Aug-18,Culture,3,2,Infosys,Working hours policy,3,5
5,Bhubaneswar,Very good platform,5,4,Accountant,5,17-Aug-18,Good,5,5,Infosys,Thanks,5,5
4,,,4,3,Process Executive for 10 months in Banglore,4,9-Aug-18,Nice and peaceful working environment,4,3,Infosys,Salary matters,4,4
5,Bangalore,,4,3,Team Leader,4,6-Aug-18,The work culture and learning,4,1,Infosys,Poor salary structure. Very very less from the market standard. Horrible managers. Again it depends on which project you are working. There are some fabulous managers who are really inspiration for others.,4,5
4,,,4,4,Systems Engineer for 1.4 years in Pune,3,2-Aug-18,"Working environment, helping team members",3,3,Infosys,Pay scale,4,4
3,Bangalore,Slow growth.overall ok,2,1,Technology Analyst,2,10-May-18,"Smooth,process based.",2,1,Infosys,"Pay,politics,growth,hike",4,5
3,Hyderabad,Balanced,4,3,Senior Systems Engineer,4,3-May-18,Work environment and facilities in side campus is fabulous.,3,2,Infosys,Freshers get less salary as compare to lateral joiners.,3,4
5,Chennai,,4,4,Account Assistant,4,28-Mar-18,Teammates work together like as family and keep on learns something daily by new tasks,4,4,Infosys,There is one way cab facility so it takes little long time to travel,4,4
3,Pune,"Depends for which client u are working, it will be good , balanced or hectic with no personal life.",3,3,Test Analyst,3,7-Mar-18,"Work life balance, good client.",3,4,Infosys,"Politics within different Units , they don't release candidate easily, need to struggle a lot to get different project.",3,3
5,Bangalore,,5,5,Legal Intern,5,4-Feb-19,The team I worked with was very encouraging and helpful.,4,5,Infosys,Nothing as such.,5,4
3,Gurgaon,,3,3,Senior Executive,3,29-Aug-19,Thanks,3,3,Infosys,,3,4
5,,,5,3,Senior Consultant for 6 years,5,16-Aug-19,,3,3,Infosys,,5,2
3,,,4,3,Associate for 6 years,2,11-Mar-19,,3,3,Infosys,,4,5
5,,,5,3,System Engineer for 3.1 years in Pune,5,5-Mar-19,Work culture and facilities which they provided,5,4,Infosys,Randomly location as well as technology allocation system,5,5
5,Thiruvananthapuram,,4,4,Systems Engineer,5,11-Dec-18,,5,5,Infosys,,3,5
3,Pune,,4,3,Technical Specialist,4,10-Dec-18,,4,4,Infosys,,2,4
1,Chennai,,1,1,System Engineer,4,10-Dec-18,,1,1,Infosys,,1,4
5,Bangalore,Exiting,5,5,Team Leader,5,18-Sep-18,Thanks,5,5,Infosys,Thanks,5,5
4,,,5,5,Consultant for 1.5 years in Hyderabad,4,18-Sep-18,Over all.. Wonderful experience to be with infy,5,3,Infosys,Nothng...,2,5
5,Pune,,5,1,Accountant,5,17-Aug-18,Good company & environment is very good,5,5,Infosys,Travel issue,5,5
4,Bangalore,It was exciting,4,4,Senior Systems Engineer,3,25-Aug-18,Work days:,3,3,Infosys,,4,4
4,Bangalore,,3,1,System Engineer,3,14-Aug-18,Good,2,1,Infosys,"No use even if you put all efforts, worst rating is given, full of politics",3,3
5,,Really nice,5,5,Sap Sd Functional Consultant for 5.4 years in Chennai,5,1-Aug-18,Really nice experience worked in Infosys,4,3,Infosys,Work days:,5,5
4,Hyderabad,,4,3,Software Test Engineer,5,2-Aug-18,Good experience in working Infosys,4,3,Infosys,Good experience in working Infosys,4,5
5,,,5,5,Senior Process Executive for 2 years in Bangalore,5,12-Jul-18,Good,3,3,Infosys,Salary,4,5
5,,Okay,5,3,Qa Test Analyst for 9 year in Chennai,4,5-May-18,INFOSYS is best Organisation to work but the project which I am working is horrible,4,4,Infosys,Currently working project leads behaviour....,4,5
4,Pune,,4,4,Senior Consultant,4,5-May-18,Provides healthy work environment to work,4,4,Infosys,Managers do not have any future vision,4,4
5,Pune,,4,2,System Engineer,3,16-Apr-18,Infosys training is the best training in India .,5,5,Infosys,The streams are allocated on random basis to freshers. They do not even ask for preference,1,5
5,Mumbai,Good,4,3,System Engineer,3,30-Oct-21,Good Good good good good,3,3,Infosys,Bad bad bad bad bad bad,3,5
5,,,5,5,Senior Process Executive for 2.3 years in Bengaluru,5,12-May-21,Everything gud.,5,5,Infosys,Everything good.,5,5
3,Bangalore,Good but people may not recognise,3,4,Senior Systems Engineer,4,6-Apr-18,Subsidiary of Infosys Limited. Good fascilities. Reliable,4,3,Infosys,Some leads make workplace a hell. Ill mannered people. Do not know way to talk to employees for no reason.,3,4
3,Pune,,3,3,Technology Architect,4,26-Mar-18,Work environment...learning,3,2,Infosys,Salary/appraisal,3,5
4,Mysore,Hectic but interesting and exciting with New challenges,4,4,Senior Systems Engineer,4,26-Mar-18,Work culture and the infrastructure,4,3,Infosys,Work days:,4,4
1,,Boring,2,3,Project Manager for 2.5 years in Pune,2,19-Mar-18,Job security,1,4,Infosys,Job profile is too bad for project manager. No technical growth at all. People absolutely don't care about commitments made during hiring,4,4
3,Pune,,3,3,Principal - Experience Design,4,17-May-21,Work days:,4,2,Infosys,,3,4
4,,,4,3,Senior Process Associate (Procurement Process) for 6.5 years in Banglore,4,4-Nov-19,No,3,3,Infosys,Salary less,4,4
3,Bangalore,,5,5,Consultant,5,5-Feb-19,Everything,3,2,Infosys,nothing to dislike,4,5
5,,,5,5,Senior Associate Consultant for 5 months in Hyderabad,5,25-Dec-18,Policies work environment facilities,5,5,Infosys,Work hours,5,5
5,Jaipur,,4,4,Assistant Accountant,4,22-Nov-18,,3,3,Infosys,,3,5
4,,Developer and support,4,4,Senior Associate Consultant for 2.9 years in Bangalore,5,23-Aug-18,Good,5,3,Infosys,Nothing,5,5
4,Hyderabad,,5,4,Senior System Engineer,5,13-Aug-18,great environment,4,3,Infosys,Compensation,4,5
5,,Good place to Work,4,4,Process Specialist for 5.1 years in Pune,4,28-Jul-18,Work days:,4,3,Infosys,,3,5
3,Pune,,4,3,Senior System Engineer,3,27-Jul-18,Not that much,3,2,Infosys,Not growth oppertunity,4,4
5,,,5,2,Technology Analyst for 3.8 years in Na,2,5-Aug-18,Work days:,2,2,Infosys,,5,5
5,Hyderabad,,5,5,Test Engineer,5,22-May-18,Infosys give its employees many opportunitues to grow and excel in thier fields.,5,4,Infosys,As per my experience there is nothing to dislike.,5,5
4,,,5,1,Senior System Engineer for 3.8 years in Jaipur,4,11-May-18,Resource utilization is not satisfactory. Those employees who are trained in specific technology should get opportunity to work in the same project which requires that technology .,4,2,Infosys,Work days:,5,4
